The metabolism decrease,0
The risk or severity of adverse effects increase,1
The serum concentration increase,2
The serum concentration decrease,3
The therapeutic efficacy decrease,4
the central nervous system depressant ( CNS depressant ) activities increase,5
the QTc - prolonging activities increase,6
the hypotensive activities increase,7
The metabolism increase,8
the antihypertensive activities decrease,9
the hypoglycemic activities increase,10
the anticoagulant activities increase,11
The serum concentration of the active metabolites increase,12
the bradycardic activities increase,13
the serotonergic activities increase,14
The therapeutic efficacy increase,15
the hypokalemic activities increase,16
the orthostatic hypotensive activities increase,17
the cardiotoxic activities decrease,18
the excretion rate which could result in a higher serum level decrease,19
the atrioventricular blocking ( AV block ) activities increase,20
the sedative activities decrease,21
the tachycardic activities increase,22
the hypertensive and vasoconstricting activities increase,23
The risk or severity of QTc prolongation increase,24
the antihypertensive activities increase,25
the arrhythmogenic activities increase,26
the cardiotoxic activities increase,27
The risk or severity of hypotension increase,28
the bronchodilatory activities decrease,29
the hyperkalemic activities increase,30
the nephrotoxic activities increase,31
the hypertensive activities increase,32
the vasoconstricting activities increase,33
the neuroexcitatory activities increase,34
the anticoagulant activities decrease,35
the fluid increase,36
the antiplatelet activities increase,37
The serum concentration of the active metabolites reduce,38
the immunosuppressive activities increase,39
The risk or severity of bleeding increase,40
the stimulatory activities decrease,41
the vasoconstricting activities decrease,42
The risk or severity of myelosuppression increase,43
the thrombogenic activities increase,44
the anticholinergic activities increase,45
the analgesic activities increase,46
an increase in the absorption resulting in an increased serum concentration and potentially a worsening of adverse effects cause,47
The risk or severity of sedation and somnolence increase,48
The risk or severity of rhabdomyolysis increase,49
The risk or severity of hyperkalemia increase,50
the hepatotoxic activities increase,51
the respiratory depressant activities increase,52
the myopathic rhabdomyolysis activities increase,53
the vasopressor activities increase,54
a decrease in the absorption resulting in a reduced serum concentration and potentially a decrease in efficacy cause,55
the hyponatremic activities increase,56
the excretion rate which could result in a lower serum level and potentially a reduction in efficacy increase,57
The risk or severity of myopathy and rhabdomyolysis increase,58
the neuromuscular blocking activities decrease,59
The risk of a hypersensitivity reaction increase,60
the hypocalcemic activities increase,61
the vasodilatory activities increase,62
the myelosuppressive activities increase,63
the hyperglycemic activities increase,64
